ASCII	Seg.	syl	sonority	aperture	nasal	voice	LAB	COR	anterior	strident	lateral	DORSAL	height	backness	tense
		syl	son	aper	nasal	voice	LAB	COR	ant	strid	lat	DORS	hi	back	tense
98	b	0	0	0	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
100	d	0	0	0	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1
250	G	0	0	0	-1	1	-1	-1	0	-1	-1	1	2	0	-1
103	g	0	0	0	-1	1	-1	-1	-1	-1	-1	1	2	1	-1
107	k	0	0	0	-1	0	-1	-1	-1	-1	-1	1	2	1	-1
112	p	0	0	0	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1
251	K	0	0	0	-1	0	-1	-1	0	-1	-1	1	2	0	-1
116	t	0	0	0	-1	0	-1	1	1	-1	-1	-1	-1	-1	-1
267	c	0	0	0	-1	0	-1	1	1	1	-1	-1	-1	-1	-1
67	T	0	0	0	-1	0	-1	1	0	1	-1	-1	-1	-1	-1
74	D	0	0	0	-1	1	-1	1	0	1	-1	-1	-1	-1	-1
83	S	0	1	1	-1	0	-1	1	0	1	-1	-1	-1	-1	-1
90	Z	0	1	1	-1	1	-1	1	0	1	-1	-1	-1	-1	-1
102	f	0	1	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1
115	s	0	1	1	-1	0	-1	1	1	1	-1	-1	-1	-1	-1
118	v	0	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
122	z	0	1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1
104	h	0	1	2	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	N	0	2	0	1	1	-1	-1	-1	-1	-1	1	2	0	-1
109	m	0	2	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
110	n	0	2	0	1	1	-1	1	1	-1	-1	-1	-1	-1	-1
108	l	0	3	2	-1	1	-1	1	1	-1	1	-1	-1	-1	-1
106	j	0	4	2	-1	1	-1	-1	-1	-1	-1	1	2	0	-1
114	r	0	3	2	-1	1	-1	1	0	-1	-1	-1	-1	-1	-1
73	I	1	1	2	-1	1	-1	-1	-1	-1	-1	-1	2	0	0
105	i	1	5	2	-1	1	-1	-1	-1	-1	-1	-1	2	0	1
273	Y	1	5	2	-1	1	1	-1	-1	-1	-1	-1	2	0	0
275	y	1	5	2	-1	1	1	-1	-1	-1	-1	-1	2	0	1
69	e	1	5	2	-1	1	-1	-1	-1	-1	-1	-1	1	0	0
101	E	1	5	2	-1	1	-1	-1	-1	-1	-1	-1	1	0	1
269	w	1	5	2	-1	1	1	-1	-1	-1	-1	-1	1	0	0
270	W	1	5	2	-1	1	1	-1	-1	-1	-1	-1	1	0	1
111	o	1	5	2	-1	1	1	-1	-1	-1	-1	-1	1	1	0
271	O	1	5	2	-1	1	1	-1	-1	-1	-1	-1	1	1	1
280	u	1	5	2	-1	1	1	-1	-1	-1	-1	-1	2	1	0
117	U	1	5	2	-1	1	1	-1	-1	-1	-1	-1	2	1	1
97	a	1	5	2	-1	1	-1	-1	-1	-1	-1	-1	0	1	0
297	A	1	5	2	-1	1	-1	-1	-1	-1	-1	-1	0	1	1
312	=	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
